device=cuda:0
step | loss | acc | grad_norm | lr_head | lr_encoder
0 | 2.145934 | 0.5000 | 110.371117 | 2.00e-05 | 5.00e-06
1 | 5.014518 | 0.2500 | 119.580566 | 2.00e-05 | 5.00e-06
2 | 3.308808 | 0.2500 | 128.407120 | 2.00e-05 | 5.00e-06
3 | 1.439347 | 0.2500 | 43.537949 | 2.00e-05 | 5.00e-06
4 | 3.841241 | 0.2500 | 146.550140 | 2.00e-05 | 5.00e-06
5 | 3.725231 | 0.2500 | 118.784836 | 2.00e-05 | 5.00e-06
6 | 2.496097 | 0.5000 | 106.893997 | 2.00e-05 | 5.00e-06
7 | 2.667748 | 0.2500 | 109.462395 | 2.00e-05 | 5.00e-06
8 | 2.987520 | 0.2500 | 74.636421 | 2.00e-05 | 5.00e-06
9 | 2.050624 | 0.2500 | 73.599915 | 2.00e-05 | 5.00e-06
10 | 1.879973 | 0.2500 | 55.401150 | 2.00e-05 | 5.00e-06
11 | 3.563305 | 0.2500 | 151.917999 | 2.00e-05 | 5.00e-06
12 | 2.393403 | 0.2500 | 65.017067 | 2.00e-05 | 5.00e-06
13 | 3.322584 | 0.2500 | 111.338173 | 2.00e-05 | 5.00e-06
14 | 3.800098 | 0.0000 | 125.732819 | 2.00e-05 | 5.00e-06
15 | 4.640621 | 0.2500 | 190.941742 | 2.00e-05 | 5.00e-06
16 | 2.998384 | 0.5000 | 124.724937 | 2.00e-05 | 5.00e-06
17 | 3.582862 | 0.2500 | 143.050232 | 2.00e-05 | 5.00e-06
18 | 1.509787 | 0.5000 | 83.063866 | 2.00e-05 | 5.00e-06
19 | 1.795284 | 0.2500 | 124.069305 | 2.00e-05 | 5.00e-06
20 | 4.398154 | 0.2500 | 120.406769 | 2.00e-05 | 5.00e-06
21 | 2.611342 | 0.2500 | 131.099106 | 2.00e-05 | 5.00e-06
22 | 1.540208 | 0.5000 | 66.793732 | 2.00e-05 | 5.00e-06
23 | 1.465235 | 0.5000 | 74.456062 | 2.00e-05 | 5.00e-06
24 | 1.769576 | 0.5000 | 67.804840 | 2.00e-05 | 5.00e-06
25 | 1.372097 | 0.5000 | 80.705734 | 2.00e-05 | 5.00e-06
26 | 3.072872 | 0.0000 | 155.747070 | 2.00e-05 | 5.00e-06
27 | 1.587667 | 0.2500 | 115.652870 | 2.00e-05 | 5.00e-06
28 | 2.556282 | 0.0000 | 95.098030 | 2.00e-05 | 5.00e-06
29 | 2.357537 | 0.2500 | 69.124382 | 2.00e-05 | 5.00e-06
30 | 2.206880 | 0.2500 | 108.783569 | 2.00e-05 | 5.00e-06
31 | 0.537974 | 0.7500 | 56.927456 | 2.00e-05 | 5.00e-06
32 | 1.539260 | 0.2500 | 94.537300 | 2.00e-05 | 5.00e-06
33 | 1.880203 | 0.2500 | 117.698662 | 2.00e-05 | 5.00e-06
34 | 2.071696 | 0.2500 | 145.120636 | 2.00e-05 | 5.00e-06
35 | 1.582343 | 0.2500 | 62.777573 | 2.00e-05 | 5.00e-06
36 | 1.568767 | 0.5000 | 76.524132 | 2.00e-05 | 5.00e-06
37 | 1.469833 | 0.5000 | 79.191307 | 2.00e-05 | 5.00e-06
38 | 2.584803 | 0.2500 | 137.641907 | 2.00e-05 | 5.00e-06
39 | 2.789595 | 0.2500 | 138.305099 | 2.00e-05 | 5.00e-06
40 | 2.983914 | 0.2500 | 54.031464 | 2.00e-05 | 5.00e-06
41 | 2.035302 | 0.5000 | 288.408905 | 2.00e-05 | 5.00e-06
42 | 1.805182 | 0.2500 | 61.449047 | 2.00e-05 | 5.00e-06
43 | 1.626607 | 0.2500 | 45.672478 | 2.00e-05 | 5.00e-06
44 | 1.653595 | 0.5000 | 87.711899 | 2.00e-05 | 5.00e-06
45 | 3.361044 | 0.0000 | 123.219254 | 2.00e-05 | 5.00e-06
46 | 1.869780 | 0.2500 | 61.858437 | 2.00e-05 | 5.00e-06
47 | 0.820166 | 0.7500 | 34.424393 | 2.00e-05 | 5.00e-06
48 | 2.087990 | 0.5000 | 95.950783 | 2.00e-05 | 5.00e-06
49 | 1.608981 | 0.2500 | 42.412144 | 2.00e-05 | 5.00e-06
eval_loss=1.748245
eval_acc=0.2500
